BOROUGH,NEIGHBORHOOD,BUILDING CLASS CATEGORY,TAX CLASS AT PRESENT,BLOCK,LOT,EASEMENT,BUILDING CLASS AT PRESENT,ADDRESS,APARTMENT NUMBER,ZIP CODE,RESIDENTIAL UNITS,COMMERCIAL UNITS,TOTAL UNITS,LAND SQUARE FEET,GROSS SQUARE FEET,YEAR BUILT,TAX CLASS AT TIME OF SALE,BUILDING CLASS AT TIME OF SALE,SALE PRICE,SALE DATE
4,GLEN OAKS,10 COOPS - ELEVATOR APARTMENTS,2,8489,1,,D4,"271-10 GRAND CENTRAL PARKWAY, 3N",,11005,,,,,,1972,2,D4,0,2023-01-03
4,SOUTH JAMAICA,01 ONE FAMILY DWELLINGS,1,10230,9,,A1,171-18 104TH AVENUE,,11433,1,0,1,2400,1248,1920,1,A1,680000,2023-01-03
4,HOLLISWOOD,01 ONE FAMILY DWELLINGS,1,10499,59,,S1,87-80 191ST STREET,,11423,1,1,2,4500,3051,1930,1,S1,0,2023-01-03
4,QUEENS VILLAGE,02 TWO FAMILY DWELLINGS,1,10707,39,,B2,92-19 220TH STREET,,11428,2,0,2,3000,1136,1920,1,B2,0,2023-01-03
4,HOWARD BEACH,10 COOPS - ELEVATOR APARTMENTS,2,11431,36,,D4,"151-20 88 STREET, 6E",,11414,,,,,,1963,2,D4,185000,2023-01-03
4,SOUTH OZONE PARK,02 TWO FAMILY DWELLINGS,1,11646,52,,S2,114-21 LEFFERTS BOULEVARD,,11420,2,1,3,2000,2640,1925,1,S2,710000,2023-01-03
4,SOUTH OZONE PARK,01 ONE FAMILY DWELLINGS,1,11686,26,,A5,116-40 131ST STREET,,11420,1,0,1,2100,1408,1930,1,A5,500,2023-01-03
4,SOUTH OZONE PARK,01 ONE FAMILY DWELLINGS,1,11706,21,,A1,114-49 114 STREET,,11420,1,0,1,2442,1280,1925,1,A1,0,2023-01-03
4,SOUTH OZONE PARK,01 ONE FAMILY DWELLINGS,1,11708,27,,A1,115-23 115TH STREET,,11420,1,0,1,2400,1264,1930,1,A1,715000,2023-01-03
4,CAMBRIA HEIGHTS,01 ONE FAMILY DWELLINGS,1,12814,75,,A1,120-23 229TH STREET,,11411,1,0,1,4000,1180,1940,1,A1,0,2023-01-03
4,LAURELTON,01 ONE FAMILY DWELLINGS,1,12908,38,,A2,130-51 230TH STREET,,11413,1,0,1,3700,888,1945,1,A2,0,2023-01-03
4,ROSEDALE,02 TWO FAMILY DWELLINGS,1,13748,32,,B3,241-56 148TH ROAD,,11422,2,0,2,4000,2050,1950,1,B3,0,2023-01-03
4,LONG ISLAND CITY,13 CONDOS - ELEVATOR APARTMENTS,2,72,1011,,R4,"22-18 JACKSON AVE, 210",210,11101,1,,1,,,2017,2,R4,2095000,2023-01-04
4,LONG ISLAND CITY,13 CONDOS - ELEVATOR APARTMENTS,2,437,1758,,R4,"23-15 44TH DRIVE, 5410",5410,11101,1,,1,,,2018,2,R4,1645135,2023-01-04
4,LONG ISLAND CITY,13 CONDOS - ELEVATOR APARTMENTS,2,437,1759,,R4,"23-15 44TH DRIVE, 5411",5411,11101,1,,1,,,2018,2,R4,2659034,2023-01-04
4,ASTORIA,02 TWO FAMILY DWELLINGS,1,804,12,,B3,23-57 37TH STREET,,11105,2,0,2,2500,2150,1930,1,B3,1080000,2023-01-04
4,ASTORIA,02 TWO FAMILY DWELLINGS,1,818,14,,B1,24-19 35TH STREET,,11103,2,0,2,2425,2080,1925,1,B1,1400000,2023-01-04
4,JACKSON HEIGHTS,12 CONDOS - WALKUP APARTMENTS,2,973,1028,,R2,"21-37 77TH STREET, UNIT2",UNIT2,11370,1,,1,,,,2,R2,420000,2023-01-04
4,JACKSON HEIGHTS,10 COOPS - ELEVATOR APARTMENTS,2,1268,33,,D4,"81-15 35TH AVE, 4G",,11372,,,,,,1937,2,D4,300000,2023-01-04
4,ELMHURST,13 CONDOS - ELEVATOR APARTMENTS,2,1352,1034,,R4,"70-65 QUEENS BOULEVARD, 5G",5G,11377,1,,1,,,2021,2,R4,534581,2023-01-04
4,ELMHURST,44 CONDO PARKING,4,1352,1138,,RG,"70-65 QUEENS BOULEVARD, P47",P47,11377,,1,1,,,2021,4,RG,534581,2023-01-04
4,JACKSON HEIGHTS,01 ONE FAMILY DWELLINGS,1,1381,19,,A5,30-28 84TH STREET,,11370,1,0,1,2000,2512,1935,1,A5,885000,2023-01-04
4,CORONA,14 RENTALS - 4-10 UNIT,2B,1596,33,,S9,40-52 JUNCTION BLVD,,11368,4,4,8,2375,5050,1988,2,S9,2900000,2023-01-04
4,CORONA,07 RENTALS - WALKUP APARTMENTS,2B,1996,27,,C7,108-46 ROOSEVELT AVENUE,,11368,7,1,8,2778,6786,2020,2,C7,3562988,2023-01-04
4,CORONA,12 CONDOS - WALKUP APARTMENTS,2,1997,1004,,R2,"10838 41ST AVE, 2B",2B,11368,1,,1,,,2016,2,R2,446160,2023-01-04
4,REGO PARK,10 COOPS - ELEVATOR APARTMENTS,2,2086,50,,D4,"9805 63RD ROAD, 2J",,11374,,,,,,1955,2,D4,475000,2023-01-04
4,FOREST HILLS,10 COOPS - ELEVATOR APARTMENTS,2,2212,14,,D4,"69-10 108TH STREET, 2M",,11375,,,,,,1953,2,D4,420000,2023-01-04
4,SUNNYSIDE,02 TWO FAMILY DWELLINGS,1,2282,13,,B1,45-25 49TH STREET,,11377,2,0,2,2500,1620,1930,1,B1,0,2023-01-04
4,MASPETH,02 TWO FAMILY DWELLINGS,1,2405,2,,B2,6804 53RD ROAD,,11378,2,0,2,2875,2112,1910,1,B2,900000,2023-01-04
4,ELMHURST,02 TWO FAMILY DWELLINGS,1,2485,7,,B1,51-63 72ND PLACE,,11378,2,0,2,2464,2677,2011,1,B1,0,2023-01-04
4,MIDDLE VILLAGE,02 TWO FAMILY DWELLINGS,1,2815,76,,B1,76-11 57TH ROAD,,11379,2,0,2,4000,2550,1960,1,B1,1285000,2023-01-04
4,ELMHURST,03 THREE FAMILY DWELLINGS,1,2883,8,,C0,85-18 57TH ROAD,,11373,3,0,3,1900,3789,2017,1,C0,0,2023-01-04
4,REGO PARK,13 CONDOS - ELEVATOR APARTMENTS,2,3115,1031,,R4,"85-04 63RD DRIVE, 4D",4D,11374,1,,1,,,1952,2,R4,490000,2023-01-04
4,FOREST HILLS,10 COOPS - ELEVATOR APARTMENTS,2,3191,1,,D4,"71-11 YELLOWSTONE BLVD, 6M",,11375,,,,,,1954,2,D4,170000,2023-01-04
4,RIDGEWOOD,15 CONDOS - 2-10 UNIT RESIDENTIAL,2C,3472,1004,,R1,"1893 CORNELIA STREET, 2R",2R,11385,1,,1,,,1930,2,R1,750000,2023-01-04
4,RIDGEWOOD,29 COMMERCIAL GARAGES,4,3542,19,,G7,1518 DECATUR STREET,,11385,0,0,0,19916,0,,4,G7,6750000,2023-01-04
4,RIDGEWOOD,07 RENTALS - WALKUP APARTMENTS,2A,3542,85,,C3,15-21 COOPER AVENUE,,11385,4,0,4,2496,3000,1931,2,C3,1200000,2023-01-04
4,RIDGEWOOD,13 CONDOS - ELEVATOR APARTMENTS,2,3554,1125,,R4,"16-71 SUMMERFIELD STREET, PHD",PHD,11385,1,,1,,,2020,2,R4,592500,2023-01-04
4,RIDGEWOOD,47 CONDO NON-BUSINESS STORAGE,4,3554,1131,,RS,"16-71 SUMMERFIELD STREET, S3",S3,11385,,1,1,,,2020,4,RS,592500,2023-01-04
4,RIDGEWOOD,44 CONDO PARKING,4,3554,1147,,RP,"16-71 SUMMERFIELD STREET, P8",P8,11385,,1,1,,,2020,4,RP,592500,2023-01-04
4,RIDGEWOOD,27 FACTORIES,4,3556,14,,F5,1614 DECATUR STREET,,11385,0,1,1,17000,17000,1965,4,F5,11604854,2023-01-04
4,FLUSHING-NORTH,10 COOPS - ELEVATOR APARTMENTS,2,4343,10,,D4,"139-16 28TH ROAD, 4A",,11354,,,,,,1952,2,D4,270000,2023-01-04
4,WHITESTONE,01 ONE FAMILY DWELLINGS,1,4475,31,,A2,147-46 7TH AVENUE,,11357,1,0,1,5000,1150,1955,1,A2,0,2023-01-04
4,WHITESTONE,01 ONE FAMILY DWELLINGS,1,4633,42,,A2,146-21 21ST AVENUE,,11357,1,0,1,4200,1270,1950,1,A2,1070000,2023-01-04
4,FLUSHING-NORTH,13 CONDOS - ELEVATOR APARTMENTS,2,4954,1007,,R4,"32-36 UNION STREET, 5A",5A,11354,1,,1,,,2007,2,R4,0,2023-01-04
4,FLUSHING-NORTH,13 CONDOS - ELEVATOR APARTMENTS,2,5066,1555,,R4,"40-28 COLLEGE POINT BLVD, 1815",1815,11354,1,,1,,,2008,2,R4,720000,2023-01-04
4,FLUSHING-NORTH,13 CONDOS - ELEVATOR APARTMENTS,2,5137,1649,,R4,"137-10 FRANKLIN AVENUE, 402",402,11355,1,,1,,,1958,2,R4,0,2023-01-04
4,FLUSHING-NORTH,13 CONDOS - ELEVATOR APARTMENTS,2,5193,1316,,R4,"43-18 ROBINSON STREET, 5A",5A,11355,1,,1,,,2009,2,R4,520000,2023-01-04
4,FLUSHING-NORTH,01 ONE FAMILY DWELLINGS,1,5249,45,,A1,33-06 165TH STREET,,11358,1,0,1,5090,1282,1925,1,A1,0,2023-01-04
4,FLUSHING-NORTH,02 TWO FAMILY DWELLINGS,1,5361,27,,B2,40-08 FRANCIS LEWIS BLVD,,11361,2,0,2,5200,2346,1920,1,B2,0,2023-01-04
4,BAYSIDE,09 COOPS - WALKUP APARTMENTS,2,5781,1,,C6,"199-03 19TH AVENUE, 2-177",,11357,,,,,,1952,2,C6,255000,2023-01-04
4,BAYSIDE,10 COOPS - ELEVATOR APARTMENTS,2,5938,7,,D4,"18-15 215TH STREET, 1S",,11360,,,,,,1969,2,D4,315000,2023-01-04
4,BAYSIDE,01 ONE FAMILY DWELLINGS,1,5971,40,,A0,28-27 JORDAN STREET,,11358,1,0,1,3842,1195,1950,1,A0,125000,2023-01-04
4,FLUSHING-SOUTH,09 COOPS - WALKUP APARTMENTS,2,6670,1,,C6,"144-35 78TH ROAD, 3R",,11367,,,,,,1949,2,C6,200000,2023-01-04
4,FLUSHING-SOUTH,02 TWO FAMILY DWELLINGS,1,6683,9,,B3,147-20 75TH AVENUE,,11367,2,0,2,4300,3069,1950,1,B3,1700000,2023-01-04
4,BAYSIDE,01 ONE FAMILY DWELLINGS,1,7339,39,,A5,214-18 46TH AVENUE,,11361,1,0,1,1800,1224,1950,1,A5,878000,2023-01-04
4,HOLLIS HILLS,01 ONE FAMILY DWELLINGS,1,7801,33,,A1,209-06 82ND AVENUE,,11427,1,0,1,4000,1380,1940,1,A1,1085000,2023-01-04
4,DOUGLASTON,01 ONE FAMILY DWELLINGS,1,8103,35,,A1,84 240TH STREET,,11363,1,0,1,5280,1548,1930,1,A1,850000,2023-01-04
4,LITTLE NECK,01 ONE FAMILY DWELLINGS,1,8148,57,,A1,82 NASSAU ROAD,,11363,1,0,1,3440,1541,1930,1,A1,780000,2023-01-04
4,DOUGLASTON,09 COOPS - WALKUP APARTMENTS,2,8306,4,,C6,"245-80 62 AVENUE, A-3 U",,11362,,,,,,1953,2,C6,190000,2023-01-04
4,GLEN OAKS,10 COOPS - ELEVATOR APARTMENTS,2,8489,1,,D4,"269-10 GRAND CENTRAL PARKWAY, 15B",,11005,,,,,,1972,2,D4,0,2023-01-04
4,WOODHAVEN,01 ONE FAMILY DWELLINGS,1,8921,6,,A5,86-12 88TH AVENUE,,11421,1,0,1,1800,1570,1915,1,A5,0,2023-01-04
4,OZONE PARK,02 TWO FAMILY DWELLINGS,1,9003,14,,B2,95-18 77TH STREET,,11416,2,0,2,2142,1808,1915,1,B2,722958,2023-01-04
4,OZONE PARK,05 TAX CLASS 1 VACANT LAND,1B,9025,32,,V0,95-21 87TH STREET,,11416,0,0,0,2154,0,,1,V0,200000,2023-01-04
4,KEW GARDENS,03 THREE FAMILY DWELLINGS,1,9238,23,,C0,84-48 123RD STREET,,11415,3,0,3,3700,3441,1920,1,C0,0,2023-01-04
4,RICHMOND HILL,03 THREE FAMILY DWELLINGS,1,9421,55,,C0,101-33 103RD STREET,,11416,3,0,3,2350,3128,1970,1,C0,0,2023-01-04
4,OZONE PARK,02 TWO FAMILY DWELLINGS,1,9505,123,,B1,103-44 102ND STREET,,11417,2,0,2,3625,1794,1982,1,B1,0,2023-01-04
4,BRIARWOOD,10 COOPS - ELEVATOR APARTMENTS,2,9714,138,,D4,"141-30 84TH ROAD, 6C",,11435,,,,,,1957,2,D4,375000,2023-01-04
4,JAMAICA HILLS,03 THREE FAMILY DWELLINGS,1,9860,38,,C0,84-64 169TH STREET,,11432,3,0,3,3100,3120,1985,1,C0,0,2023-01-04
4,HOLLIS,02 TWO FAMILY DWELLINGS,1,9933,28,,S2,185-18 HILLSIDE AVENUE,,11432,2,1,3,1860,2979,1901,1,S2,1192000,2023-01-04
4,JAMAICA,05 TAX CLASS 1 VACANT LAND,4,10026,33,,V1,95-31 WALTHAM STREET,,11435,0,0,0,2500,0,,1,V0,3415000,2023-01-04
4,JAMAICA,05 TAX CLASS 1 VACANT LAND,4,10026,34,,V1,95-25 WALTHAM STREET,,11435,0,0,0,2500,0,,1,V0,3415000,2023-01-04
4,SOUTH JAMAICA,05 TAX CLASS 1 VACANT LAND,1B,10202,131,,V0,N/A PHOANE AVENUE,,11433,0,0,0,2688,0,,1,V0,0,2023-01-04
4,SOUTH JAMAICA,05 TAX CLASS 1 VACANT LAND,1B,10202,231,,V0,N/A PHOANE AVENUE,,11433,0,0,0,5976,0,,1,V0,0,2023-01-04
4,HOLLIS,02 TWO FAMILY DWELLINGS,1,10829,31,,B3,198-24 CARPENTER AVENUE,,11423,2,0,2,5000,1936,1920,1,B3,0,2023-01-04
4,ST. ALBANS,02 TWO FAMILY DWELLINGS,1,11055,24,,B1,209-18 NASHVILLE BOULEVARD,,11411,2,0,2,4600,2580,1945,1,B1,1075000,2023-01-04
4,OZONE PARK,01 ONE FAMILY DWELLINGS,1,11363,3,,A5,83-06 133RD AVENUE,,11417,1,0,1,2000,1216,1935,1,A5,548870,2023-01-04
4,OZONE PARK,02 TWO FAMILY DWELLINGS,1,11371,154,,B2,89-61 GOLD ROAD,,11417,2,0,2,2299,1936,1965,1,B2,970000,2023-01-04
4,HOWARD BEACH,02 TWO FAMILY DWELLINGS,1,11413,48,,B2,149-35 81ST STREET,,11414,2,0,2,3424,2392,1960,1,B2,999999,2023-01-04
4,HOWARD BEACH,04 TAX CLASS 1 CONDOS,1A,11444,1003,,R3,"153-43 82ND STREET, 1A-U",1A-U,11414,1,,1,,,,1,R3,0,2023-01-04
4,SO. JAMAICA-BAISLEY PARK,02 TWO FAMILY DWELLINGS,1,12194,18,,B2,114-33 157TH STREET,,11434,2,0,2,3377,2025,2013,1,B2,920000,2023-01-04
4,SO. JAMAICA-BAISLEY PARK,01 ONE FAMILY DWELLINGS,1,12213,65,,A1,153-26 119TH AVENUE,,11434,1,0,1,1544,1036,1940,1,A1,252500,2023-01-04
4,SO. JAMAICA-BAISLEY PARK,02 TWO FAMILY DWELLINGS,1,12351,112,,B3,169-08 116TH AVENUE,,11434,2,0,2,3000,1415,1920,1,B3,565000,2023-01-04
4,ROSEDALE,01 ONE FAMILY DWELLINGS,1,12918,230,,A2,243-12 130TH ROAD,,11422,1,0,1,3800,1521,1950,1,A2,0,2023-01-04
4,HOWARD BEACH,02 TWO FAMILY DWELLINGS,1,14141,10,,B2,155-10 COHANCY STREET,,11414,2,0,2,4000,2496,1975,1,B2,1345000,2023-01-04
4,LONG ISLAND CITY,02 TWO FAMILY DWELLINGS,1,77,51,,B3,21-18 45TH AVENUE,,11101,2,0,2,2000,2860,1891,1,B3,1860000,2023-01-05
4,SUNNYSIDE,13 CONDOS - ELEVATOR APARTMENTS,2,199,1002,,R4,"47-55 39TH PLACE, 2A",2A,11104,1,,1,,,1939,2,R4,551000,2023-01-05
4,LONG ISLAND CITY,13 CONDOS - ELEVATOR APARTMENTS,2,437,1780,,R4,"23-15 44TH DRIVE, 5608",5608,11101,1,,1,,,2018,2,R4,1620000,2023-01-05
4,ASTORIA,02 TWO FAMILY DWELLINGS,1,798,33,,B1,41-12 20TH AVENUE,,11105,2,0,2,2500,1750,1870,1,B1,0,2023-01-05
4,ASTORIA,07 RENTALS - WALKUP APARTMENTS,2A,854,75,,C2,26-17 24TH AVENUE,,11102,6,0,6,2273,4680,1931,2,C2,0,2023-01-05
4,JACKSON HEIGHTS,01 ONE FAMILY DWELLINGS,1,1099,29,,A5,24-35 87TH STREET,,11369,1,0,1,1800,1224,1940,1,A5,755000,2023-01-05
4,WOODSIDE,02 TWO FAMILY DWELLINGS,1,1132,11,,B3,31-20 55TH STREET,,11377,2,0,2,1710,1116,1945,1,B3,0,2023-01-05
4,JACKSON HEIGHTS,02 TWO FAMILY DWELLINGS,1,1145,9,,B1,31-45 74TH STREET,,11370,2,0,2,2500,1692,1955,1,B1,0,2023-01-05
4,WOODSIDE,37 RELIGIOUS FACILITIES,4,1213,6,,M1,58-11 39TH AVENUE,,11377,0,1,1,2523,3000,1930,4,M1,1300000,2023-01-05
4,WOODSIDE,44 CONDO PARKING,4,1299,1016,,RG,"40-40 68TH STREET, PS4",PS4,11377,,1,1,,,2008,4,RG,0,2023-01-05
4,ELMHURST,13 CONDOS - ELEVATOR APARTMENTS,2,1352,1067,,R4,"70-65 QUEENS BOULEVARD, 8A",8A,11377,1,,1,,,2021,2,R4,575311,2023-01-05
4,ELMHURST,44 CONDO PARKING,4,1352,1124,,RG,"70-65 QUEENS BOULEVARD, P33",P33,11377,,1,1,,,2021,4,RG,575311,2023-01-05
4,JACKSON HEIGHTS,10 COOPS - ELEVATOR APARTMENTS,2,1458,12,,D4,"35-16 85TH STREET, 4B",,11372,,,,,,1940,2,D4,325000,2023-01-05
4,JACKSON HEIGHTS,10 COOPS - ELEVATOR APARTMENTS,2,1474,12,,D4,"37-26 87TH STREET, 1B",,11372,,,,,,1951,2,D4,435000,2023-01-05
4,ELMHURST,46 CONDO STORE BUILDINGS,4,1486,1001,,RK,"40-24 76TH STREET, 1A",1A,11373,,1,1,,,2004,4,RK,1825000,2023-01-05
4,ELMHURST,46 CONDO STORE BUILDINGS,4,1486,1002,,RK,"40-24 76TH STREET, 1B",1B,11373,,1,1,,,2004,4,RK,1825000,2023-01-05
4,ELMHURST,10 COOPS - ELEVATOR APARTMENTS,2,1547,16,,D4,"85-14 BROADWAY, 4N",,11373,,,,,,1952,2,D4,220000,2023-01-05
4,CORONA,03 THREE FAMILY DWELLINGS,1,1621,27,,C0,96-29 CORONA AVENUE,,11368,3,0,3,3111,2680,1931,1,C0,687500,2023-01-05
